Name,County,Location,Dedicated Date,Lattitude,Longitude,Marker Type,Missing?,Categories,Marker Text,Text Len,Year,
Philadelphia & Columbia Railroad,Philadelphia,"Edgley Ave. off Belmont Ave. (W Fairmount Park), Philadelphia","Thursday, May 17, 2001",39.9956,-75.21644,Roadside,No,"Business & Industry, Government & Politics 19th Century, Railroads, Transportation","One of America's earliest railroads, authorized by the state legislature in 1828 and completed in 1834. Stretching 82 miles west to the Susquehanna, it was powered first by horses, later by steam. Part of a state-owned transportation system, including the Pennsylvania canal, built in response to intense competition from adjacent states. Acquired by the Pennsylvania Railroad Co. in 1857. Stone blocks placed for the original track have remained visible here.",460,2001,
William Allen (1704-1780),Philadelphia,"7300 Germantown Ave., near Allen's Ln., at Lutheran Seminary","Saturday, September 26, 2009",40.06096,-75.19151,Roadside,No,,"One of colonial America's wealthiest men, Allen supported construction of the state house, now Independence Hall. He helped establish Pennsylvania Hospital and the Academy and College of Philadelphia, which became the University of Pa. He founded the City of Allentown and was Chief Justice of the Pa. Supreme Court. Initially supporting colonial interests, he became a Loyalist until he died here at his estate, Mt. Airy, for which the community is named.",456,2009,
Pennypack Creek Bridge,Philadelphia,"Pennypack Park, Frankford Ave. & Solly Ave., Philadelphia","Saturday, October 13, 2012",40.04362,-75.01993,Roadside,No,"American Revolution, Bridges, Early Settlement, Native American, Roads","Built circa 1697 at a Lenape Indian trail crossing, it is the oldest roadway bridge in continuous use in the nation. The tri-arch stone span was an important link on the King's Highway, one of America's oldest roads. It served American and French combined forces on the march to Yorktown, known as the Rochambeau Route, in 1781. The only major modification to the bridge was widening in 1893; the upstream side is essentially unchanged from the original.",454,2012,
"SPHAs Basketball Team, The",Philadelphia,"Broad & Wood Sts., Philadelphia","Sunday, April 14, 2013",39.95883,-75.16232,Roadside,No,"Basketball, Ethnic & Immigration, Sports & Recreation","The South Philadelphia Hebrew Association was a dominant professional team from 1918 to 1959, winning 12 league championships. During its heyday in the 1930s, the team was all Jewish. Owner/coach Eddie Gottlieb was a seminal figure in the establishment of the NBA. Instrumental in the growth of pro basketball in its formative years, in later years the team toured with the Harlem Globetrotters. Home games were played here at the former Broadwood Hotel.",454,2013,
First African Baptist Church,Philadelphia,"6700 Lansdowne Ave., Philadelphia","Saturday, September 23, 2017",39.97443,-75.2537,Roadside,No,"African American, Education, Religion","Founded in 1809, it is one of the first black Baptist churches in America and the oldest in Pa. In 1832, two members, John and Samuel Bivins, sold themselves into slavery to free an enslaved man, James Burroughs, to serve as pastor. After a year, Burroughs paid the slaveowner and the Bivinses were freed. F.A.B members helped found Downingtown Industrial School and many Philadelphia-area churches. Booker T. Washington spoke at the church centennial.",452,2017,
"Kelly Family, The",Philadelphia,"At the corner of W Coulter St. & Henry Ave., Philadelphia","Saturday, October 27, 2012",40.01784,-75.18896,Roadside,No,"Government & Politics 20th Century, Motion Pictures & Television, Performers, Sports & Recreation, Women","This famous family lived in the home built here by John B. Kelly. A successful businessman active in city politics, Jack was a 3-time Olympic gold medal winner in the 1920s for rowing. Son John Jr. (""Kell"") won the Diamond Scull at the 1947 British Henley Regatta and a bronze medal at the 1956 Olympics. Both father and son were named to US Rowing and Olympic Halls of Fame. Daughter Grace was an Academy Award-winning actress and Princess of Monaco.",451,2012,
Freedom Now Rally,Philadelphia,"intersection of 40th St., Lancaster Ave., and Haverford Ave., Philadelphia","Saturday, June 19, 2010",39.96296,-75.20232,Roadside,No,"African American, Civil Rights, Government & Politics 20th Century","On August 3, 1965, Dr. Martin Luther King addressed a crowd of 10,000 at this intersection. His “Freedom Now” tour to Philadelphia, Chicago, Cleveland, and Boston was in gratitude for support given to his Southern Christian Leadership Conference. King brought his message into northern Black neighborhoods, supporting local civil rights efforts and raising funds. His goal was to empower the formation of a coalition to address their common concerns.",450,2010,
Moyamensing Prison,Philadelphia,"E Passyunk Ave. & S 10th St., at corner of Reed, Philadelphia","Wednesday, May 4, 2011",39.9319,-75.16111,Roadside,No,,"Opened in 1835, Thomas U. Walter designed it with elements of Egyptian Revival style and following the revolutionary principle of isolated confinement. With later additions, it could house nearly 5000 inmates - African Americans and women in separate wings. H. H. Holmes, considered Americas first serial killer, was executed here. The last hanging in Pa. took place here in 1916, soon replaced by electrocution. Closed in 1963, it was razed in 1968.",450,2011,
Glomar Explorer,Philadelphia,"At Independence Seaport Mus., 211 S Columbus Blvd. & Walnut St., Philadelphia","Wednesday, August 2, 2006",39.94633,-75.14014,Roadside,No,"Government & Politics 20th Century, Military","In a covert CIA plan named the Jennifer Project, this ship was built at Sun Shipbuilding and Dry Dock Company, Chester, in the early 1970s and played a key role in US Cold War espionage. Its mission was to obtain intelligence by recovering a sunken Soviet submarine, three miles deep in the Pacific Ocean. Portions of the sub were raised by the ship's huge claw in the summer of 1974; six Soviet submariners were recovered and given a burial at sea.",449,2006,
Printz's (Old Swedes) Mill,Philadelphia,"7303 Woodland Ave., next to Cobbs Creek, Philadelphia","Saturday, October 18, 2008",39.91711,-75.24693,Roadside,Yes,"Business & Industry, Early Settlement, Mills, Native American, William Penn","The first European water-powered mill in what is now Pa. was built here c. 1645 by New Sweden governor, Johann Printz. New Sweden Colony was established in 1638 and existed until 1655, when the Dutch, and later, William Penn claimed the territory. Built along the Great Minquas Path, the primitive Norse or Splash grist mill was among the first industrial sites in Pa. Its square anchoring holes remain, visible below the mill dam constructed later.",449,2008,
